req_num,text,tests,guidance
1.3.3,"NSCs are installed between all wireless networks and the CDE, regardless of whether the wireless network is a CDE, such that: • All wireless traffic from wireless networks into the CDE is denied by default. • Only wireless traffic with an authorized business purpose is allowed into the CDE.",Examine configuration settings. ; Examine network diagrams.,
1.4,Network connections between trusted and untrusted networks are controlled.,,
1.4.1,NSCs are implemented between trusted and untrusted standards.,Examine NSC configuration standards. ; Examine current network diagrams. ; Examine network configurations.,
1.4.2,"Inbound traffic from untrusted networks to trusted networks is restricted to: • Communications with system components that are authorized to provide publicly accessible services, protocols, and ports. • Stateful responses to communications initiated by system components in a trusted network. • All other traffic is denied.",Examine NSC documentation. ; Examine NSC configurations.,"The intent of this requirement is to address communication sessions between trusted and untrusted networks, rather than the specifics of protocols. This requirement does not limit the use of UDP or other connectionless network protocols if state is maintained by the NSC."
1.4.3,Anti-spoofing measures are implemented to detect and block forged source IP addresses from entering the trusted network.,Examine NSC documentation. ; Examine NSC configurations.,
1.4.4,System components that store cardholder data are not directly accessible from untrusted networks.,Examine NSC configurations. ; Examine the data-flow diagram and network diagram.,"This requirement is not intended to apply to storage of account data in volatile memory but does apply where memory is being treated as persistent storage (for example, RAM disk). Account data can only be stored in volatile memory during the time necessary to support the associated business process (for example, until completion of the related payment card transaction)."
1.4.5,The disclosure of internal IP addresses and routing information is limited to only authorized parties.,Examine NSC configurations. ; Examine documentation. ; Interview responsible personnel.,
1.5,Risks to the CDE from computing devices that are able to connect to both untrusted networks and the CDE are mitigated.,,
1.5.1,"Security controls are implemented on any computing devices, including company - and employee -owned devices, that connect to both untrusted networks (including the Internet) and the CDE as follows. • Specific configuration settings are defined to prevent threats being introduced into the entity’s network. • Security controls are actively running. • Security controls are not alterable by users of the computing devices unless specifically documented and authorized by management on a case- by-case basis for a limited period.",Examine policies and configuration standards. ; Examine device configuration settings.,"These security controls may be temporarily disabled only if there is legitimate technical need, as authorized by management on a case-by -case basis. If these security controls need to be disabled for a specific purpose, it must be formally authorized. Additional security measures may also need to be implemented for the period during which these security controls are not active. This requirement applies to employee -owned and company -owned computing devices. Systems that cannot be managed by corporate policy introduce weaknesses and provide opportunities that malicious individuals may exploit. Requirement 2: Apply Secure Configurations to All System Components"
2.1,Processes and mechanisms for applying secure configurations to all system components are defined and understood.,,
2.1.1,All security policies and operational procedures that are identified in Requirement 2 are: • Documented. • Kept up to date. • In use. • Known to all affected parties.,Examine documentation. ; Interview personnel.,
2.1.2,"Roles and responsibilities for performing activities in Requirement 2 are documented, assigned, and understood.",Interview responsible personnel. ; Examine documentation.,
2.2,System components are configured and managed securely.,,
2.2.1,"Configuration standards are developed, implemented, and maintained to: • Cover all system components. • Address all known security vulnerabilities. • Be consistent with industry -accepted system hardening standards or vendor hardening recommendations. • Be updated as new vulnerability issues are identified, as defined in Requirement 6.3.1. • Be applied when new systems are configured and verified as in place before or immediately after a system component is connected to a production standards. • Review industry -accepted hardening standards.",Examine system configuration standards. ; Examine configuration settings. ; Interview personnel.,
2.2.2,"Vendor default accounts are managed as follows: • If the vendor default account(s) will be used, the default password is changed per Requirement 8.3.6. • If the vendor default account(s) will not be used, the standards.",Examine system configuration standards. ; Examine vendor documentation. ; Observe a system administrator logging on using vendor default accounts. ; Examine configuration files. ; Interview personnel.,"This applies to ALL vendor default accounts and passwords, including, but not limited to, those used by operating systems, software that provides security services, application and system accounts, point -of-sale (POS) terminals, payment applications, and Simple Network Management Protocol (SNMP) defaults. This requirement also applies where a system component is not installed within an entity’s environment, for example, software and applications that are part of the CDE and are accessed via a cloud subscription service."
2.2.3,"Primary functions requiring different security levels are managed as follows: • Only one primary function exists on a system component, • Primary functions with differing security levels that exist on the same system component are isolated from each other, • Primary functions with differing security levels on the same system component are all secured to the level required by the function with the highest security need.",Examine system configuration standards. ; Examine system configurations.,
2.2.4,"Only necessary services, protocols, daemons, and standards.",Examine system configuration standards. ; Examine system configurations.,
2.2.5,"If any insecure services, protocols, or daemons are present: • Business justification is documented. • Additional security features are documented and implemented that reduce the risk of using insecure services, protocols, or daemons.",Examine configuration standards. ; Interview personnel. ; Examine configuration settings.,
2.2.6,System security parameters are configured to prevent standards.,Examine system configuration standards. ; Interview personnel. ; Examine system configurations.,
2.2.7,All non -console administrative access is encrypted using standards.,Examine system configuration standards. ; Observe an administrator log on. ; Examine system configurations. ; Examine vendor documentation. ; Interview personnel.,This includes administrative access via browser -based interfaces and application programming interfaces (APIs).
2.3,Wireless environments are configured and managed securely.,,
2.3.1,"For wireless environments connected to the CDE or transmitting account data, all wireless vendor defaults are changed at installation or are confirmed to be secure, including but not limited to: • Default wireless encryption keys. • Passwords on wireless access points. • SNMP defaults. • Any other security -related wireless vendor defaults. • Review vendor documentation.",Examine policies and procedures. ; Examine wireless configuration settings. ; Interview personnel.,"This includes, but is not limited to, default wireless encryption keys, passwords on wireless access points, SNMP defaults, and any other security -related wireless vendor defaults."
2.3.2,"For wireless environments connected to the CDE or transmitting account data, wireless encryption keys are changed as follows: • Whenever personnel with knowledge of the key leave the company or the role for which the knowledge was necessary. documentation.",Examine key -management documentation. ; Interview personnel. Protect Account Data Requirement 3: Protect Stored Account Data,
3.1,Processes and mechanisms for protecting stored account data are defined and understood.,,
3.1.1,All security policies and operational procedures that are identified in Requirement 3 are: • Documented. • Kept up to date. • In use. • Known to all affected parties.,Examine documentation. ; Interview personnel.,
3.1.2,"Roles and responsibilities for performing activities in Requirement 3 are documented, assigned, and understood.",Examine documentation. ; Interview responsible personnel.,
3.2,Storage of account data is kept to a minimum.,,
3.2.1,"Account data storage is kept to a minimum through implementation of data retention and disposal policies, procedures, and processes that include at least the following: • Coverage for all locations of stored account data. • Coverage for any sensitive authentication data (SAD) stored prior to completion of authorization. This bullet is a best practice until its effective date; refer to",Interview personnel. ; Examine files and system records on system components where account data is stored. ; Observe the mechanisms used to render account data unrecoverable.,"Where account data is stored by a TPSP (for example, in a cloud environment), entities are responsible for working with their service providers to understand how the TPSP meets this requirement for the entity. Considerations include ensuring that all geographic instances of a data element are securely deleted. The bullet above (for coverage of SAD stored prior to completion of authorization) is a best practice until 31 March 2025, after which it will be required as part of Requirement 3.2.1 and must be fully considered during a PCI DSS assessment."
3.3,Sensitive authentication data (SAD) is not stored after authorization.,,
3.3.1,"SAD is not stored after authorization, even if encrypted. All sensitive authentication data received is rendered unrecoverable upon completion of the authorization procedures.",Examine documented policies and procedures. ; Examine system configurations. ; Observe the secure data deletion processes.,Part of this Applicability Note was intentionally removed for this SAQ as it does not apply to merchant assessments . Sensitive authentication data includes the data cited in Requirements 3.3.1.1 through 3.3.1.3.
3.3.1.1,The full contents of any track are not stored upon completion of the authorization process.,Examine data sources.,"In the normal course of business, the following data elements from the track may need to be retained: • Cardholder name. • Primary account number (PAN). • Expiration date. • Service code. To minimize risk, store securely only these data elements as needed for business."
3.3.1.2,The card verification code is not stored upon completion of the authorization process.,Examine data sources.,The card verification code is the three - or four -digit number printed on the front or back of a payment card used to verify card-not -present transactions.
3.3.1.3,The personal identification number (PIN) and the PIN block are not stored upon completion of the authorization process.,Examine data sources.,
3.3.2,SAD that is stored electronically prior to completion of authorization is encrypted using strong cryptography.,Examine data stores and system configurations. ; Examine vendor documentation.,"Whether SAD is permitted to be stored prior to authorization is determined by the organizations that manage compliance programs (for example, payment brands and acquirers). Contact these organizations for any additional criteria. This requirement applies to all storage of SAD, even if no PAN is present in the environment. Refer to Requirement 3.2.1 for an additional requirement that applies if SAD is stored prior to completion of authorization. Part of this Applicability Note was intentionally removed for this SAQ as it does not apply to merchant assessments . This requirement does not replace how PIN blocks are required to be managed, nor does it mean that a properly encrypted PIN block needs to be encrypted again. This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment."
3.3.3,Additional requirement for issuers and companies that support issuing services and store sensitive authentication data,,
3.4,Access to displays of full PAN and ability to copy PAN are restricted.,,
3.4.1,"PAN is masked when displayed (the BIN and last four digits are the maximum number of digits to be displayed), such that only personnel with a legitimate business need can see more than the BIN and last four digits of the PAN.","Examine documented policies and procedures. ; Examine system configurations. ; Examine the documented list of roles that need access to more than the BIN and last four digits of the PAN (includes full PAN). ; Examine displays of PAN (for example, on screen, on paper receipts).","This requirement does not supersede stricter requirements in place for displays of cardholder data—for example, legal or payment brand requirements for point -of-sale (POS) receipts. This requirement relates to protection of PAN where it is displayed on screens, paper receipts, printouts, etc., and is not to be confused with Requirement 3.5.1 for protection of PAN when stored, processed, or transmitted."
3.4.2,"When using remote-access technologies, technical controls prevent copy and/or relocation of PAN for all personnel, except for those with documented, explicit evidence for technical controls.",Examine documented policies and procedures and documented evidence for technical controls. ; Examine configurations for remote-access technologies. ; Observe processes. ; Interview personnel.,"Storing or relocating PAN onto local hard drives, removable electronic media, and other storage devices brings these devices into scope for PCI DSS. This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment."
3.5,Primary account number (PAN) is secured wherever it is stored.,,
3.5.1,"PAN is rendered unreadable anywhere it is stored by using any of the following approaches: • One-way hashes based on strong cryptography of the entire PAN. • Truncation (hashing cannot be used to replace the truncated segment of PAN). – If hashed and truncated versions of the same PAN, or different truncation formats of the same PAN, are present in an environment, additional controls are in place such that the different versions cannot be correlated to reconstruct the original PAN • Index tokens. • Strong cryptography with associated key - unreadable.","Examine documentation about the system used to render PAN unreadable. ; Examine data repositories. ; Examine audit logs, including payment application logs. ; Examine controls to verify that the hashed and truncated PANs cannot be correlated to reconstruct the original PAN.","This requirement applies to PANs stored in primary storage (databases, or flat files such as text files spreadsheets) as well as non-primary storage (backup, audit logs, exception, or troubleshooting logs). This requirement does not preclude the use of temporary files containing cleartext PAN while encrypting and decrypting PAN"
3.5.1.1,"Hashes used to render PAN unreadable (per the first bullet of Requirement 3.5.1), are keyed cryptographic hashes of the entire PAN, with associated key - hashing method used.","Examine documentation about the hashing method used. ; Examine documentation about the key-management procedures and processes. ; Examine data repositories. ; Examine audit logs, including payment application logs.",
3.5.1.2,"If disk -level or partition-level encryption (rather than file- , column -, or field -level database encryption) is used to render PAN unreadable, it is implemented only as follows: • On removable electronic media. • If used for non -removable electronic media, PAN is also rendered unreadable via another mechanism that meets Requirement 3.5.1.",Observe encryption processes. ; Examine configurations and/or vendor documentation.,"This requirement applies to any encryption method that provides clear -text PAN automatically when a system runs, even though an authorized user has not specifically requested that data. While disk or partition encryption may still be present on these types of devices, it cannot be the only mechanism used to protect PAN stored on those systems. Any stored PAN must also be rendered unreadable per Requirement 3.5.1—for example, through truncation or a data- level encryption mechanism. Full disk encryption helps to protect data in the event of physical loss of a disk and therefore its use is appropriate only for removable electronic media storage devices. Media that is part of a data center architecture (for example, hot -swappable drives, bulk tape- backups) is considered non-removable electronic media to which Requirement 3.5.1 applies. Disk or partition encryption implementations must also meet all other PCI DSS encryption and key-management requirements. Part of this Applicability Note was intentionally removed for this SAQ as it does not apply to merchant assessments. This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment."
3.5.1.3,"If disk -level or partition-level encryption is used (rather than file-, column -, or field --level database encryption) to render PAN unreadable, it is managed as follows: • Logical access is managed separately and independently of native operating system authentication and access control mechanisms. • Decryption keys are not associated with user accounts. • Authentication factors (passwords, passphrases, or cryptographic keys ) that allow access to unencrypted data are stored securely .",Examine system configurations. ; Observe the authentication process. ; Examine files containing authentication factors . ; Interview personnel.,Disk or partition encryption implementations must also meet all other PCI DSS encryption and key-management requirements.
3.6,Cryptographic keys used to protect stored account data are secured.,,
3.6.1,Procedures are defined and implemented to protect cryptographic keys used to protect stored account data against disclosure and misuse that include: • Access to keys is restricted to the fewest number of custodians necessary. • Key-encrypting keys are at least as strong as the data-encrypting keys they protect. • Key-encrypting keys are stored separately from data- encrypting keys. management policies and procedures.,Examine documented key - management policies and procedures.,"This requirement applies to keys used to protect stored account data and to key -encrypting keys used to protect data-encrypting keys. The requirement to protect keys used to protect stored account data from disclosure and misuse applies to both data- encrypting keys and key -encrypting keys. Because one key -encrypting key may grant access to many data-encrypting keys, the key -encrypting keys require strong protection measures."
3.6.1.1,Additional requirement for service providers only,,
3.6.1.2,"Secret and private keys used to protect stored account data are stored in one (or more) of the following forms at all times: • Encrypted with a key -encrypting key that is at least as strong as the data -encrypting key, and that is stored separately from the data -encrypting key. • Within a secure cryptographic device (SCD), such as a hardware security module (HSM) or PTS -approved point -of-interaction device. • As at least two full -length key components or key shares, in accordance with an industry -accepted method. • According to ISO 19592 or equivalent industry standard for generation of secret key shares.","Examine documented procedures. ; Examine system configurations and key storage locations, including for key -encrypting keys.","It is not required that public keys be stored in one of these forms. Cryptographic keys stored as part of a key -management system (KMS) that employs SCDs are acceptable. A cryptographic key that is split into two parts does not meet this requirement. Secret or private keys stored as key components or key shares must be generated via one of the following: • Using an approved random number generator and within an SCD,"
3.6.1.3,Access to cleartext cryptographic key components is restricted to the fewest number of custodians necessary.,Examine user access lists.,
3.6.1.4,Cryptographic keys are stored in the fewest possible locations.,Examine key storage locations. ; Observe processes.,
3.7,"Where cryptography is used to protect stored account data, key -management processes and procedures covering all aspects of the key lifecycle are defined and implemented.",,
3.7.1,Key-management policies and procedures are implemented to include generation of strong management policies and procedures.,Examine documented key - management policies and procedures. ; Observe the method for generating keys.,
3.7.2,Key-management policies and procedures are implemented to include secure distribution of procedures.,Examine documented key - management policies and procedures. ; Observe the method for distributing keys.,
3.7.3,Key-management policies and procedures are implemented to include secure storage of cryptographic management policies and procedures.,Examine documented key - management policies and procedures. ; Observe the method for storing keys.,
3.7.4,"Key-management policies and procedures are implemented for cryptographic key changes for keys that have reached the end of their cryptoperiod, as defined by the associated application vendor or key owner, and based on industry best practices and guidelines, including the following: • A defined cryptoperiod for each key type in use. management policies and procedures.",Examine documented key - management policies and procedures. ; Interview personnel. ; Observe key storage locations.,
3.7.5,"Key-management policies procedures are implemented to include the retirement, replacement, or destruction of keys used to protect stored account data, as deemed necessary when: • The key has reached the end of its defined cryptoperiod. • The integrity of the key has been weakened, including when personnel with knowledge of a cleartext key component leaves the company, or the role for which the key component was known. • The key is suspected of or known to be compromised. management policies and procedures.",Examine documented key - management policies and procedures. ; Interview personnel.,"If retired or replaced cryptographic keys need to be retained, these keys must be securely archived (for example, by using a key -encryption key)."
3.7.6,"Where manual cleartext cryptographic key -management operations are performed by personnel, key - management policies and procedures are implemented including managing these operations using split procedures. • According to ISO 19592 or equivalent industry standard for generation of secret key shares.",Examine documented key- management policies and procedures. ; Interview personnel. ; Observe processes.,"This control is applicable for manual key -management operations. A cryptographic key that is simply split into two parts does not meet this requirement. Secret or private keys stored as key components or key shares must be generated via one of the following: • Using an approved random number generator and within a secure cryptographic device (SCD), such as a hardware security module (HSM) or PTS -approved point -of-interaction device,"
3.7.7,Key-management policies and procedures are implemented to include the prevention of unauthorized management policies and procedures.,Examine documented key - management policies and procedures. ; Interview personnel. ; Observe processes.,
3.7.8,Key-management policies and procedures are implemented to include that cryptographic key custodians formally acknowledge (in writing or electronically) that they understand and accept their key - procedures. • Review documentation or other evidence of key custodian acknowledgments.,Examine documented key - management policies and procedures.,
3.7.9,"Additional requirement for service providers only Requirement 4: Protect Cardholder Data with Strong Cryptography During Transmission Over Open, Public Networks",,
4.1,"Process es and mechanisms for protecting cardholder data with strong cryptography during transmission over open, public networks are defined and understood.",,
4.1.1,All security policies and operational procedures that are identified in Requirement 4 are: • Documented. • Kept up to date. • In use. • Known to all affected parties.,Examine documentation. ; Interview personnel.,
4.1.2,"Roles and responsibilities for performing activities in Requirement 4 are documented, assigned, and understood.",Examine documentation. ; Interview responsible personnel,
4.2,PAN is protected with strong cryptography during transmission.,,
4.2.1,"Strong cryptography and security protocols are implemented as follows to safeguard PAN during transmission over open, public networks: • Only trusted keys and certificates are accepted.","Examine documented policies and procedures. ; Interview personnel. ; Examine system configurations. ; Examine cardholder data transmissions. ; Examine keys and certificates. • Certificates used to safeguard PAN during transmission over open, public networks are confirmed as valid and are not expired or revoked. This bullet is a best practice until its effective date; refer to Applicability Notes below for details. • The protocol in use supports only secure versions or configurations and does not support fallback to, or use of insecure versions, algorithms, key sizes, or implementations. • The encryption strength is appropriate for the encryption methodology in use.","A self -signed certificate may also be acceptable if the certificate is issued by an internal CA within the organization, the certificate’s author is confirmed, and the certificate is verified—for example, via hash or signature —and has not expired. The bullet above (for confirming that certificates used to safeguard PAN during transmission over open, public networks are valid and are not expired or revoked) is a best practice until 31 March 2025, after which it will be required as part of Requirement 4.2.1 and must be fully considered during a PCI DSS assessment."
4.2.1.1,An inventory of the entity’s trusted keys and certificates used to protect PAN during procedures.,Examine documented policies and procedures. ; Examine the inventory of trusted keys and certificates.,"This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment."
4.2.1.2,Wireless networks transmitting PAN or connected to the CDE use industry best practices to implement strong cryptography for authentication and transmission.,Examine system configurations.,
4.2.2,PAN is secured with strong cryptography whenever it is sent via end-user messaging procedures.,Examine documented policies and procedures. ; Examine system configurations and vendor documentation.,"This requirement also applies if a customer, or other third party, requests that PAN is sent to them via end-user messaging technologies. There could be occurrences where an entity receives unsolicited cardholder data via an insecure communication channel that was not intended for transmissions of sensitive data. In this situation, the entity can choose to either include the channel in the scope of their CDE and secure it according to PCI DSS or delete the cardholder data and implement measures to prevent the channel from being used for cardholder data. Maintain a Vulnerability Management Program Requirement 5: Protect All Systems and Networks from Malicious Software"
5.1,Processes and mechanisms for protecting all systems and networks from malicious software are defined and understood.,,
5.1.1,All security policies and operational procedures that are identified in Requirement 5 are: • Documented. • Kept up to date. • In use. • Known to all affected parties.,Examine documentation. ; Interview personnel.,
5.1.2,"Roles and responsibilities for performing activities in Requirement 5 are documented, assigned, and understood.",Examine documentation. ; Interview responsible personnel.,
5.2,"Malicious software (malware) is prevented, or detected and addressed.",,
5.2.1,"An anti -malware solution(s) is deployed on all system components, except for those system components identified in periodic evaluations per Requirement 5.2.3 that concludes the system components are not at risk from malware.",Examine system components. ; Examine the periodic evaluations.,
5.2.2,"The deployed anti -malware solution(s): • Detects all known types of malware. • Removes, blocks, or contains all known types of",Examine vendor documentation. ; Examine system configurations.,
5.2.3,Any system components that are not at risk for malware are evaluated periodically to include the following: • A documented list of all system components not at risk for malware. • Identification and evaluation of evolving malware threats for those system components. procedures.,Examine documented policies and procedures. ; Interview personnel. ; Examine the list of system components not at risk for malware and compare against the system components without an anti - malware solution deployed.,System components covered by this requirement are those for which there is no anti-malware solution deployed per Requirement 5.2.1.
5.2.3.1,"The frequency of periodic evaluations of system components identified as not at risk for malware is defined in the entity’s targeted risk analysis, which is performed according to all elements specified in Requirement 12.3.1.",Examine the targeted risk analysis. ; Examine documented results of periodic evaluations. ; Interview personnel.,"This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment."
5.3,"Anti-malware mechanisms and processes are active, maintained, and monitored.",,
5.3.1,The anti -malware solution(s) is kept current via master installation.,"Examine anti- malware solution(s) configurations, including any master installation. ; Examine system components and logs.",
5.3.2,"The anti -malware solution(s): • Performs periodic scans and active or real- time configurations, including any master installation.","Examine anti- malware solution(s) configurations, including any master installation. ; Examine system components. ; Examine logs and scan results.",
5.3.2.1,"If periodic malware scans are performed to meet Requirement 5.3.2, the frequency of scans is defined in the entity’s targeted risk analysis, which is performed according to all elements specified in Requirement 12.3.1.",Examine the targeted risk analysis. ; Examine documented results of periodic malware scans. ; Interview personnel.,"This requirement applies to entities conducting periodic malware scans to meet Requirement 5.3.2. This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment."
5.3.3,"For removable electronic media, the anti-malware solution(s): • Performs automatic scans of when the media is inserted, connected, or logically mounted, • Performs continuous behavioral analysis of systems or processes when the media is inserted, configurations.",Examine anti- malware solution(s) configurations. ; Examine system components with removable electronic media. ; Examine logs and scan results.,"This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment."
5.3.4,Audit logs for the anti -malware solution(s) are enabled configurations.,Examine anti- malware solution(s) configurations.,
5.3.5,"Anti-malware mechanisms cannot be disabled or altered by users, unless specifically documented, and authorized by management on a case-by -case basis configurations.",Examine anti- malware configurations. ; Observe processes. ; Interview responsible personnel.,"Anti-malware solutions may be temporarily disabled only if there is a legitimate technical need, as authorized by management on a case-by -case basis. If anti -malware protection needs to be disabled for a specific purpose, it must be formally authorized. Additional security measures may also need to be implemented for the period during which anti -malware protection is not active."
5.4,Anti-phishing mechanisms protect users against phishing attacks.,,
5.4.1,Processes and automated mechanisms are in place to detect and protect personnel against phishing attacks.,Examine mechanisms. ; Observe implemented processes.,"The focus of this requirement is on protecting personnel with access to system components in- scope for PCI DSS. Meeting this requirement for technical and automated controls to detect and protect personnel against phishing is not the same as Requirement 12.6.3.1 for security awareness training. Meeting this requirement does not also meet the requirement for providing personnel with security awareness training, and vice versa. This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment. Requirement 6: Develop and Maintain Secure Systems and Software"
6.1,Processes and mechanisms for developing and maintaining secure systems and software are defined and understood.,,
6.1.1,All security policies and operational procedures that are identified in Requirement 6 are: • Documented. • Kept up to date. • In use. • Known to all affected parties.,Examine documentation. ; Interview personnel.,
6.1.2,"Roles and responsibilities for performing activities in Requirement 6 are documented, assigned, and understood.",Examine documentation. ; Interview responsible personnel.,
6.2,Bespoke and custom software are developed securely.,,
6.2.1,"Bespoke and custom software are developed securely, as follows: • Based on industry standards and/or best practices for secure development. • In accordance with PCI DSS (for example, secure authentication and logging). procedures.",Examine documented software development procedures.,This applies to all software developed for or by the entity for the entity’s own use. This includes both bespoke and custom software. This does not apply to third-party software.
6.2.2,Software development personnel working on bespoke and custom software are trained at least once every 12 months as follows: • On software security relevant to their job function and development languages. • Including secure software design and secure coding techniques. procedures.,Examine documented software development procedures. ; Examine training records. ; Interview personnel.,"Software development personnel remain knowledgeable about secure development practices; software security; and attacks against the languages, frameworks, or applications they develop. Personnel are able to access assistance and guidance when required."
6.2.3,"Bespoke and custom software is reviewed prior to being released into production or to customers, to identify and correct potential coding vulnerabilities, as follows: • Code reviews ensure code is developed according to secure coding guidelines. • Code reviews look for both existing and emerging software vulnerabilities. procedures.",Examine documented software development procedures. ; Interview responsible personnel. ; Examine evidence of changes to bespoke and custom software.,Manual code reviews can be conducted by knowledgeable internal personnel or knowledgeable third-party personnel. An individual that has been formally granted accountability for release control and who is neither the original code author nor the code reviewer fulfills the criteria of being management .
6.2.4,"Software engineering techniques or other methods are defined and in use by software development personnel to prevent or mitigate common software attacks and related vulnerabilities in bespoke and custom software, including but not limited to the following: • Injection attacks, including SQL, LDAP, XPath, or other command, parameter, object, fault, or injection-type flaws.","Examine documented procedures. ; Interview responsible software development personnel. • Attacks on data and data structures, including attempts to manipulate buffers, pointers, input data, or shared data. • Attacks on cryptography usage, including attempts to exploit weak, insecure, or inappropriate cryptographic implementations, algorithms, cipher suites, or modes of operation. • Attacks on business logic, including attempts to abuse or bypass application features and functionalities through the manipulation of APIs, communication protocols and channels, client -side functionality, or other system/application functions and resources. This includes cross -site scripting (XSS) and cross -site request forgery (CSRF). • Attacks on access control mechanisms, including attempts to bypass or abuse identification, authentication, or authorization mechanisms, or attempts to exploit weaknesses in the implementation of such mechanisms. • Attacks via any “high-risk” vulnerabilities identified in the vulnerability identification process, as defined in Requirement 6.3.1.",This applies to all software developed for or by the entity for the entity’s own use. This includes both bespoke and custom software. This does not apply to third -party software.
6.3,"Security vulnerabilities are identified and addressed. 6.3.1 Security vulnerabilities are identified and managed as follows: • New security vulnerabilities are identified using industry - recognized sources for security vulnerability information, including alerts from international and national computer emergency response teams (CERTs). • Vulnerabilities are assigned a risk ranking based on industry best practices and consideration of potential impact. • Risk rankings identify, at a minimum, all vulnerabilities considered to be a high-risk or critical to the environment. • Vulnerabilities for bespoke and custom, and third-party software (for example operating systems and databases) procedures.",Examine policies and procedures. ; Interview responsible personnel. ; Examine documentation. ; Observe processes.,"This requirement is not achieved by , and is in addition to, performing vulnerability scans according to Requirements 11.3.1 and 11.3.2. This requirement is for a process to actively monitor industry sources for vulnerability information and for the entity to determine the risk ranking to be associated with each vulnerability."
6.3.2,"An inventory of bespoke and custom software, and third- party software components incorporated into bespoke and custom software is maintained to facilitate vulnerability and Interview personnel.",Examine documentation. Interview personnel.,"This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment"
6.3.3,All system components are protected from known vulnerabilities by installing applicable security patches/updates as follows: • Patches/updates for critical vulnerabilities (identified according to the risk ranking process at Requirement 6.3.1) are installed within one month of release. • All other applicable security patches/updates are installed within an appropriate time frame as determined by the entity’s assessment of the criticality of the risk to the environment as identified according to the risk ranking procedures.,Examine policies and procedures. ; Examine system components and related software. • Compare list of security patches installed to recent vendor patch lists.,
6.4,Public -facing web applications are protected against attacks.,,
